date,title,source,keyword,text,is_regulation,asset,sentiment_label,sentiment_score,sentiment_confidence
2026-03-24,‘I’m deathly afraid’: what is digital spirituality leading us toward?,The Guardian,digital currency,"‘I’m deathly afraid’: what is digital spirituality leading us toward? Where traditional religion once gathered people together, digital spirituality is now consumed in isolation, mediated by tech gods with opaque agendas",0,SOL,neutral,0.0,0.8479838371276855
2026-03-24,"Protect men and boys from manosphere influencers, Labour MPs tell Ofcom",The Guardian,crypto SEC,"Protect men and boys from manosphere influencers, Labour MPs tell Ofcom Exclusive: Group says measures to curb harmful content will also help to tackle violence against women and girls",0,OTHER,neutral,0.0,0.5060637593269348
2026-03-24,Jon Stewart on Donald Trump’s Iran lies: ‘Our Supreme Misleader’,The Guardian,crypto SEC,Jon Stewart on Donald Trump’s Iran lies: ‘Our Supreme Misleader’ Late-night hosts discussed Trump’s bluffing on Iran ‘talks’ and his callous reaction to Robert Mueller’s death,0,OTHER,neutral,0.0,0.6975147128105164
2026-03-24,Divide between Silicon Valley and ordinary people grows ever larger,The Guardian,crypto SEC,Divide between Silicon Valley and ordinary people grows ever larger Big tech believes the future is AI while everyday Americans remain wary; and the dangers of riding in a Tesla Cybertruck,0,OTHER,neutral,0.0,0.5850634574890137
2026-03-24,UK medical council overhaul may mean more doctors struck off for racism and antisemitism,The Guardian,cryptocurrency regulation,"UK medical council overhaul may mean more doctors struck off for racism and antisemitism Health department says ‘too many’ doctors have been using racist language, particularly on social media, without swift action",0,OTHER,negative,-0.9453793168067932,0.9453793168067932
2026-03-24,"As the US midterms approach, AI is going to emerge as a key issue concerning voters",The Guardian,cryptocurrency regulation,"As the US midterms approach, AI is going to emerge as a key issue concerning voters There is a political divide over AI but few leaders are taking a strong stand. It’s time for that to change",0,OTHER,neutral,0.0,0.8289342522621155
2026-03-24,Revolut warns it risks backlash over support for energy-intensive AI and crypto,The Guardian,bitcoin,Revolut warns it risks backlash over support for energy-intensive AI and crypto Fintech company’s profits leap to £1.7bn as it gears up for US push after getting UK banking licence this month,1,OTHER,positive,0.928545355796814,0.928545355796814
2026-03-24,The Guardian view on vets: there is nothing cuddly about this under-regulated market,The Guardian,cryptocurrency regulation,The Guardian view on vets: there is nothing cuddly about this under-regulated market <strong>Editorial:</strong> The watchdog’s finding that pet owners have been charged £1bn too much is a scandal,1,OTHER,negative,-0.8908945918083191,0.8908945918083191
2026-03-24,Airbnb in firing line as Cape Town’s housing crisis catches up with middle class,The Guardian,digital currency,"Airbnb in firing line as Cape Town’s housing crisis catches up with middle class Social media full of complaints about digital nomads, while waiting list for social housing gets longer",0,OTHER,negative,-0.8581209778785706,0.8581209778785706
2026-03-25,Show of strength by Reform MPs at PMQs turns into a cameo appearance,The Guardian,crypto SEC,Show of strength by Reform MPs at PMQs turns into a cameo appearance A well-timed jibe by the prime minister at Nigel Farage’s side-hustle seemed to provoke the party leader into staging a mass walkout,0,OTHER,negative,-0.6565809845924377,0.6565809845924377
2026-03-25,ABC strike: national broadcaster switches to BBC programming as staff walk off the job for 24 hours,The Guardian,digital currency,"ABC strike: national broadcaster switches to BBC programming as staff walk off the job for 24 hours Managing director Hugh Marks says broadcaster will not back down on workers’ demands despite severe disruption to television, radio and digital",0,OTHER,negative,-0.9529018998146057,0.9529018998146057
2026-03-25,Overseas political funding capped and crypto donations blocked in blow to Reform UK,The Guardian,cryptocurrency regulation,"Overseas political funding capped and crypto donations blocked in blow to Reform UK Legislation subject to MPs’ approval but will be backdated due to urgency of threat to UK democracy, says minister",0,OTHER,negative,-0.9239951372146606,0.9239951372146606
2026-03-25,Labour’s donations crackdown is a blow to Reform UK – and a highly political move,The Guardian,cryptocurrency regulation,Labour’s donations crackdown is a blow to Reform UK – and a highly political move Reform’s ability to fundraise is hobbled in a move that draws attention to donations from an overseas billionaire,1,OTHER,negative,-0.8563454151153564,0.8563454151153564
2026-03-25,UK politics: Tories claim McSweeney has ‘serious questions’ to answer about phone theft – as it happened,The Guardian,cryptocurrency regulation,UK politics: Tories claim McSweeney has ‘serious questions’ to answer about phone theft – as it happened Shadow cabinet officer minister claims ‘this whole thing stinks to high heaven’,0,OTHER,negative,-0.7516738772392273,0.7516738772392273
